ENVIADO,USUARIOENVIO,FECHASOLICITUD,INSUMO,SOLUCION,ANSSOLUCION,OBSERVACION,DIRECCIONES_CORREGIDAS,RESPONSABLE,ANSACTIVIDAD,FECHAINI,FECHAFIN
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429949659,"Carga Proactiva",142:21:51,"CL 2 SUR # 87 F - 67,SE ACTUALIZA, TIMIBOG-TAP016033, BOCA 1",1,JRAMIRCA,00:28:35,"2018-05-03 12:39:16","2018-05-03 13:07:51"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429194752,"Correcion limites y Poligonos",142:48:53,"CL 3 # 88 BIS - 04,SE ACTUALIZA,TIMIBOG-TAP015729,BOCA 2",1,JRAMIRCA,00:23:00,"2018-05-03 13:11:53","2018-05-03 13:34:53"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:10:00",1428259932,"Correcion limites y Poligonos",143:29:36,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:45:05,"2018-05-03 12:54:31","2018-05-03 13:39:36"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1430189251,"Correcion limites y Poligonos",143:06:05,"BR Villas De San Juan MZ J IN 2 CS 94.SE VERIFICAN COORDENADAS, SE BUSCA DIRECCIÓN EN PNI, SE ACTUALIZA Y ASIGNA RED AL GIS DEL USUARIO.",1,CRODRIGP,01:53:26,"2018-05-03 11:58:39","2018-05-03 13:52:05"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:23:00",1430864893,"Correcion limites y Poligonos",143:40:30,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:23:31,"2018-05-03 13:39:59","2018-05-03 14:03:30"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1428296188,"Carga Proactiva",143:28:36,"CL 40 # 87 D - 09 PI 3, SE ACTUALIZA, TIMIBOG-TAP018113,BOCA 8",1,JRAMIRCA,00:34:53,"2018-05-03 13:39:43","2018-05-03 14:14:36"
"DATA CLEAN","data clean","2018-04-27 14:46:00",1428341375,"Correcion limites y Poligonos",143:30:57,"CR 26 SUR # 86 C 28 PISO 1 SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,03:53:29,"2018-05-03 10:23:28","2018-05-03 14:16:57"
"DATA CLEAN","data clean","2018-04-27 14:46:00",1428328764,"Correcion limites y Poligonos",143:31:44,"KR 24 C 2 31 LA FRAGUITA SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,00:00:32,"2018-05-03 14:17:12","2018-05-03 14:17:44"
"DATA CLEAN","data clean","2018-04-27 14:46:00",1428242146,"Correcion limites y Poligonos",143:32:27,"KL 46 # 83 - 38 SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO AUN DUMMY",1,EESTRAS,00:00:40,"2018-05-03 14:17:47","2018-05-03 14:18:27"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:03:00",1430874504,"Correcion limites y Poligonos",144:38:56,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:38:26,"2018-05-03 14:03:30","2018-05-03 14:41:56"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429734824,"Correcion limites y Poligonos",143:58:07,"CL 40 A # 93 C - 04,SE ACTUALIZA,TIMIBOG-TAP019319, BOCA 3",1,JRAMIRCA,00:23:40,"2018-05-03 14:20:27","2018-05-03 14:44:07"
ASIGNACIONES,"BUZÓN GESTIÓN INCONSISTENCIAS","2018-04-03 13:02:00","INC 1-9471166780613","Correcion limites y Poligonos",721:51:32,"1.	El asusto para cualquier correo que envíen al buzón de  gestión inconsistencia debe marcarse como CORRECCION PNI. 2.	A dicho buzón se deben enviar los casos únicamente referentes a la cobertura o cuando no hay flag habilitados. 3.	El servicio en mención tiene cobertura y flag habilitados.",0,SSANCHP,00:11:36,"2018-05-03 14:41:56","2018-05-03 14:53:32"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429411694,"Correcion limites y Poligonos",144:16:54,"1429411694.SE VERIFICAN COORDENADAS, SE BUSCA DIRECCIÓN EN PNI, SE ACTUALIZA Y ASIGNA RED AL GIS DEL USUARIO.",1,CRODRIGP,01:10:44,"2018-05-03 13:52:10","2018-05-03 15:02:54"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1428441814,"Correcion limites y Poligonos",144:31:19,"CL 40 B # 86 D - 10 IN 301, SE ACTUALIZA, TIMIBOG-TAP018137, BOCA 1",1,JRAMIRCA,00:25:55,"2018-05-03 14:51:24","2018-05-03 15:17:19"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:16:00",1428835206,"Correcion limites y Poligonos",145:08:25,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:30:31,"2018-05-03 14:53:54","2018-05-03 15:24:25"
"DATA CLEAN","DATA CLEAN","2018-04-26 14:46:00",1429345957,"Correcion limites y Poligonos",168:53:43,"CL 15 A # 17 - 13 TO 3 AP 402.SE VERIFICAN COORDENADAS, SE BUSCA DIRECCIÓN EN PNI, SE ACTUALIZA Y ASIGNA RED AL GIS DEL USUARIO.",1,CRODRIGP,00:36:37,"2018-05-03 15:03:06","2018-05-03 15:39:43"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:24:00",1428593120,"Correcion limites y Poligonos",145:26:03,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:25:38,"2018-05-03 15:24:25","2018-05-03 15:50:03"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:14:00",1428377698,"Correcion limites y Poligonos",145:46:51,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:10:48,"2018-05-03 15:50:03","2018-05-03 16:00:51"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429677566,"Correcion limites y Poligonos",145:17:33,"CL 42 # 90 D - 04, SE ACTUALIZA, TIMIBOG-TAP019494, BOCA 4",1,JRAMIRCA,00:38:43,"2018-05-03 15:24:50","2018-05-03 16:03:33"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:05:00",1428414565,"Correcion limites y Poligonos",146:19:22,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:23:31,"2018-05-03 16:00:51","2018-05-03 16:24:22"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:24:00",1429339261,"Correcion limites y Poligonos",146:16:39,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:16:17,"2018-05-03 16:24:22","2018-05-03 16:40:39"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429280451,"Correcion limites y Poligonos",145:55:41,"CL 42 B # 72 H - 82, SE ACTUALIZA, TIMIBOG-TAP010723, BOCA 3",1,JRAMIRCA,00:32:38,"2018-05-03 16:09:03","2018-05-03 16:41:41"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:13:00",1428359066,"Correcion limites y Poligonos",146:43:22,"SE ACTUALIZA BOCA DE TAP ESTABA ASOCIADO A UN DUMMY",1,SSANCHP,00:15:43,"2018-05-03 16:40:39","2018-05-03 16:56:22"
"DATA CLEAN","DATA CLEAN","2018-04-27 14:46:00",1429174100,"Correcion limites y Poligonos",146:11:32,"KR 1 C # 8 A - 31.SE VERIFICAN COORDENADAS, SE BUSCA DIRECCIÓN EN PNI, SE ACTUALIZA Y ASIGNA RED AL GIS DEL USUARIO.",1,CRODRIGP,01:17:43,"2018-05-03 15:39:49","2018-05-03 16:57:32"
